id,sku,name,key,value,confidence,evidence
phase3c-533019-application_method-173,533019,FLEX PE 150 18-EC Set Rotary Çift Akülü Kablosuz Polisaj Makinesi Seti 18V -Kömürsüz Fırçasız Motor,application_method,machine,high,machine signal
phase3c-533020-skill_level-174,533020,FLEX XCE 8 150 18-EC Set DA Orbital Çift Akülü Kablosuz Polisaj Makinesi Seti - Pozitif Sürüş,skill_level,pro,high,profesyonel/usta
phase3c-533020-application_method-176,533020,FLEX XCE 8 150 18-EC Set DA Orbital Çift Akülü Kablosuz Polisaj Makinesi Seti - Pozitif Sürüş,application_method,machine,high,machine signal
phase3c-533021-skill_level-177,533021,FLEX XFE 15 150 18-EC SET Random Orbital Çift Akülü Kablosuz Polisaj Makinesi Seti - Fırçasız Motor,skill_level,pro,high,profesyonel/usta
phase3c-533021-application_method-179,533021,FLEX XFE 15 150 18-EC SET Random Orbital Çift Akülü Kablosuz Polisaj Makinesi Seti - Fırçasız Motor,application_method,machine,high,machine signal
phase3c-700743-application_method-181,700743,FRA-BER Kimyasala Dayanıklı Basınçlı Pompa - 2 lt,application_method,machine,high,machine signal
phase3c-701908-application_method-183,701908,FRA-BER Superlux Suya Dayanıklı Lastik Parlatıcı Dış İç Plastik Trim Koruyucu Yenileyici - 900 ml,application_method,machine,high,machine signal
phase3c-701908-outdoor_use-184,701908,FRA-BER Superlux Suya Dayanıklı Lastik Parlatıcı Dış İç Plastik Trim Koruyucu Yenileyici - 900 ml,outdoor_use,true,high,dış mekan/açık
phase3c-70868-dwell_time_minutes-185,70868,FRA-BER Gommalux Uzun Süreli Lastik Parlatıcı Ve Koruyucu Sprey - 750 ml,dwell_time_minutes,10,high,10 dk bekle
phase3c-70868-skill_level-186,70868,FRA-BER Gommalux Uzun Süreli Lastik Parlatıcı Ve Koruyucu Sprey - 750 ml,skill_level,pro,high,profesyonel/usta
phase3c-70868-application_method-187,70868,FRA-BER Gommalux Uzun Süreli Lastik Parlatıcı Ve Koruyucu Sprey - 750 ml,application_method,both,high,machine+hand
